participant,device,phase,n,N
3445,CD1C,sf,7,7.777777777777778
3445,CD1C,reunion,15,6.25
3445,CD2B,play,11,4.583333333333333
3445,CD2B,sf,8,8.88888888888889
3445,CD2B,reunion,14,5.833333333333333
3446,CD1C,play,8,3.3333333333333335
3446,CD1C,sf,9,10
3446,CD1C,reunion,10,4.166666666666666
3450,CD1C,play,8,3.3333333333333335
3450,CD1C,sf,5,5.555555555555555
3450,CD1C,reunion,3,1.25
3450,CD2B,play,2,0.8333333333333334
3450,CD2B,sf,3,3.3333333333333335
3450,CD2B,reunion,7,2.9166666666666665
3455,CD1C,play,9,3.75
3455,CD1C,sf,2,2.2222222222222223
3455,CD1C,reunion,2,0.8333333333333334
3455,CD2B,play,12,5
3455,CD2B,sf,4,4.444444444444445
3455,CD2B,reunion,6,2.5
3458,CD1C,play,13,5.416666666666667
3458,CD1C,sf,9,10
3458,CD2B,play,13,5.416666666666667
3458,CD2B,sf,3,3.3333333333333335
3459,CD1C,play,5,2.083333333333333
3459,CD1C,sf,5,5.555555555555555
3459,CD1C,reunion,8,3.3333333333333335
3459,CD2B,play,7,2.9166666666666665
3459,CD2B,sf,8,8.88888888888889
3459,CD2B,reunion,10,4.166666666666666
3461,CD1C,play,12,5
3461,CD1C,sf,4,4.444444444444445
3461,CD1C,reunion,7,2.9166666666666665
3461,CD2B,play,17,7.083333333333333
3461,CD2B,sf,3,3.3333333333333335
3461,CD2B,reunion,7,2.9166666666666665
3462,CD1C,play,1,0.4166666666666667
3462,CD1C,sf,9,10
3462,CD1C,reunion,3,1.25
3462,CD2B,play,1,0.4166666666666667
3462,CD2B,sf,9,10
3468,CD1C,play,11,4.583333333333333
3468,CD1C,sf,10,11.11111111111111
3468,CD1C,reunion,18,7.5
3468,CD2B,play,7,2.9166666666666665
3468,CD2B,sf,5,5.555555555555555
3468,CD2B,reunion,13,5.416666666666667
3472,CD1C,play,8,3.3333333333333335
3472,CD1C,sf,12,13.333333333333334
3472,CD1C,reunion,4,1.6666666666666667
3472,CD2B,play,10,4.166666666666666
3472,CD2B,sf,13,14.444444444444443
3472,CD2B,reunion,7,2.9166666666666665
3473,CD1C,play,7,2.9166666666666665
3473,CD1C,sf,6,6.666666666666667
3473,CD1C,reunion,14,5.833333333333333
3473,CD2B,play,1,0.4166666666666667
3473,CD2B,sf,9,10
3473,CD2B,reunion,15,6.25
3476,CD1C,play,3,1.25
3476,CD1C,sf,4,4.444444444444445
3476,CD1C,reunion,3,1.25
3476,CD2B,play,10,4.166666666666666
3476,CD2B,sf,5,5.555555555555555
3476,CD2B,reunion,5,2.083333333333333
3480,CD1C,play,6,2.5
3480,CD1C,sf,4,4.444444444444445
3480,CD1C,reunion,6,2.5
3480,CD2B,play,7,2.9166666666666665
3480,CD2B,sf,6,6.666666666666667
3480,CD2B,reunion,5,2.083333333333333
3483,CD1C,play,7,2.9166666666666665
3483,CD1C,sf,7,7.777777777777778
3483,CD1C,reunion,6,2.5
3483,CD2B,play,10,4.166666666666666
3483,CD2B,sf,10,11.11111111111111
3483,CD2B,reunion,9,3.75
3487,CD1C,play,6,2.5
3487,CD1C,sf,7,7.777777777777778
3487,CD1C,reunion,12,5
3487,CD2B,play,6,2.5
3487,CD2B,sf,8,8.88888888888889
3487,CD2B,reunion,11,4.583333333333333
3488,CD1C,play,5,2.083333333333333
3488,CD1C,sf,4,4.444444444444445
3488,CD1C,reunion,5,2.083333333333333
3488,CD2B,play,9,3.75
3488,CD2B,sf,2,2.2222222222222223
3488,CD2B,reunion,2,0.8333333333333334
3491,CD2B,play,7,2.9166666666666665
3491,CD2B,sf,1,1.1111111111111112
3491,CD2B,reunion,9,3.75
3493,CD1C,play,6,2.5
3493,CD1C,sf,5,5.555555555555555
3493,CD1C,reunion,3,1.25
3493,CD2B,play,2,0.8333333333333334
3493,CD2B,sf,4,4.444444444444445
3493,CD2B,reunion,5,2.083333333333333
3498,CD1C,play,6,2.5
3498,CD1C,sf,5,5.555555555555555
3498,CD1C,reunion,9,3.75
3498,CD2B,play,5,2.083333333333333
3498,CD2B,sf,4,4.444444444444445
3498,CD2B,reunion,11,4.583333333333333
3500,CD1C,play,3,1.25
3500,CD1C,sf,4,4.444444444444445
3500,CD1C,reunion,6,2.5
3512,CD1C,play,10,4.166666666666666
3512,CD1C,sf,11,12.222222222222221
3512,CD1C,reunion,15,6.25
3512,CD2B,play,10,4.166666666666666
3512,CD2B,sf,10,11.11111111111111
3512,CD2B,reunion,22,9.166666666666666
3514,CD1C,play,15,6.25
3514,CD1C,sf,11,12.222222222222221
3514,CD1C,reunion,22,9.166666666666666
3514,CD2B,play,14,5.833333333333333
3514,CD2B,sf,11,12.222222222222221
3514,CD2B,reunion,15,6.25
3517,CD1C,play,3,1.25
3517,CD1C,sf,5,5.555555555555555
3517,CD1C,reunion,1,0.4166666666666667
3517,CD2B,play,12,5
3517,CD2B,sf,7,7.777777777777778
3517,CD2B,reunion,11,4.583333333333333
3520,CD1C,play,3,1.25
3520,CD1C,sf,10,11.11111111111111
3520,CD1C,reunion,4,1.6666666666666667
3520,CD2B,play,5,2.083333333333333
3520,CD2B,sf,3,3.3333333333333335
3520,CD2B,reunion,3,1.25
3525,CD2B,play,9,3.75
3525,CD2B,sf,8,8.88888888888889
3525,CD2B,reunion,15,6.25
3530,CD1C,play,13,5.416666666666667
3530,CD1C,sf,7,7.777777777777778
3530,CD1C,reunion,10,4.166666666666666
3530,CD2B,play,10,4.166666666666666
3530,CD2B,sf,9,10
3530,CD2B,reunion,8,3.3333333333333335
3531,CD1C,play,12,5
3531,CD1C,sf,5,5.555555555555555
3531,CD1C,reunion,2,0.8333333333333334
3531,CD2B,play,6,2.5
